cod_comuna,yautcorh,decil1,decil2,decil3,decil4,decil5,decil6,decil7,decil8,decil9,decil10,hacinamiento_2
5304,576252.956651242,.18679857,.10823892,.19584064,.12924844,.1275996,.10254773,.021594595,.062549867,.06558162,0,.058933035
5401,696460.4844382275,.17417695,.21519208,.093945146,.087075986,.1158765,.083479039,.11702553,.062122196,.021731528,.029375032,.064120501
5402,756151.6519385993,.18620819,.096300095,.084122613,.083096161,.16231979,.11053049,.090328,.14878926,.025428079,.012877339,.095646903
5403,790313.4887487214,.17507671,.084214114,.058813501,.19297647,.090351179,.083020799,.13757245,.046027958,.091203548,.040743265,.04261848
5404,623863.4107479573,.080662057,.18217054,.19474125,.1672952,.10391787,.039178714,.18395139,.025560444,.0029331658,.019589357,.0084852297
5405,744079.0773376786,.017673602,.065931313,.31937829,.12935573,.09425921,.14527451,.06994234,.012785159,.099147655,.046252195,.037979443
5501,751327.0676231089,.12460145,.12700655,.12411602,.13604219,.081872441,.12995222,.10222747,.077691108,.05736918,.039121371,.060712039
5502,621296.0396360464,.16910312,.16700201,.11589894,.14730863,.10817115,.12341304,.092929259,.040045582,.019105785,.017022489,.11524011
5503,656139.3540468161,.12383456,.2023904,.1860742,.089962311,.1056338,.10221186,.11818092,.027573895,.016911328,.02722674,.07751438
5504,746882.1538769671,.0093848351,.16795422,.14231759,.15668097,.16537911,.13630901,.11439199,.048068669,.049098711,.010414879,.11942776
5506,708659.7126229686,.040962808,.22993547,.23649678,.11734213,.076778077,.17751758,.057855435,.030993983,.032117739,0,.14170231
5601,693521.8852881315,.12964693,.13389443,.18794183,.1427827,.14221244,.067291334,.08565782,.047980964,.056328472,.0062630889,.13494647
5602,1038114.579254518,.053701017,.12368271,.069666184,.098062724,.035779644,.088534109,.1491134,.10052375,.18167476,.099261686,.069161355
5603,702299.0264623497,.074575715,.1921239,.080474541,.18556599,.1337947,.087329052,.076750703,.042577032,.10693689,.019871479,.050420169
5604,698939.5779213955,.080075659,.092633456,.20891131,.098413199,.046710804,.22278269,.1326713,.077711225,.040090375,0,.071458593
5605,920653.7836502162,.077150114,.061225891,.16741025,.21497701,.10419384,.067266114,.032672111,.15025054,.030750223,.094103917,.07687556
5606,946602.288909408,.05427311,.0995178,.15974146,.052426387,.12855238,.13953011,.076023392,.11890838,.1375808,.033446189,.073048115
5701,882583.9907868134,.10316105,.080291532,.096901901,.1019746,.13199918,.15184203,.089286797,.089383647,.10478335,.050375912,.06148985
